occupancy,fold,mean,std
occ0_2,0,-0.3540577602553237,24.983157475111017
occ0_2,1,-0.14753927441078646,23.989449334255774
occ0_2,2,-0.31778000432464115,23.9124501296547
occ0_2,3,-0.41651010503717734,24.381390251646728
occ0_2,4,0.08998796112353748,24.027061418470424
occ0_2,5,-0.11444182600149193,24.284359834351733
occ0_2,6,0.11155084092903407,23.98781547572812
occ0_2,7,-0.3011328122256819,24.338164871908393
occ0_2,8,-0.3813207057800307,24.716867968488167
occ0_2,9,0.13956741701485637,23.975021039229524
occ0_5,0,0.06325600898373905,39.451822012072235
occ0_5,1,0.040355630151499906,38.95574644876368
occ0_5,2,0.408742926911688,38.91659414342905
occ0_5,3,0.3127201484453148,38.72192851883055
occ0_5,4,-0.47542990567411164,39.4856002853567
occ0_5,5,-0.14266484091628232,38.95703225514673
occ0_5,6,-0.2439760286847152,39.70604569664836
occ0_5,7,0.08183031745221024,39.449998713061106
occ0_5,8,0.18636047026624755,39.392940471457685
occ0_5,9,0.4958094737231358,38.02355016061139
occ0_7,0,0.0973806534557436,47.79659696669238
occ0_7,1,0.21856423845192627,48.60920401363106
occ0_7,2,0.17044942606481406,47.5313947192086
occ0_7,3,-0.2523099294027051,47.447616018553695
occ0_7,4,-0.39459464392857607,48.01429744347995
occ0_7,5,0.4695771987047578,48.08316096648847
occ0_7,6,-0.3205054731768963,48.39098857307225
occ0_7,7,-0.8150332756218381,49.06057906702355
occ0_7,8,-0.4946359239205467,47.60011527573449
occ0_7,9,0.16523412157760922,48.5509905450976
occ0_9,0,-0.5302371217923304,57.10256406233758
occ0_9,1,-0.6202534780387954,55.6524093469139
occ0_9,2,0.24900643681572546,55.55215129794397
occ0_9,3,0.06166608540206393,56.51104498968951
occ0_9,4,-0.5496163317457992,55.69225658119755
occ0_9,5,-0.038056438148128084,55.572888421762244
occ0_9,6,-0.5749235120026936,55.55630025965531
occ0_9,7,0.14126003977618592,54.77910148259546
occ0_9,8,0.09559334808859812,55.307522707566896
occ0_9,9,0.49851164422105476,55.6379628745501
